"hrsrelax","mntlhlth","hrs1","degree","grass"
2,3,55,"BACHELOR",NA
4,6,45,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
3,0,45,"JUNIOR COLLEGE",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
0,0,40,"HIGH SCHOOL","NOT LEGAL"
5,10,48,"HIGH SCHOOL",NA
5,0,26,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,5,50,"BACHELOR","NOT LEGAL"
5,0,40,"HIGH SCHOOL","NOT LEGAL"
10,0,25,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
0,0,20,"GRADUATE",NA
2,15,89,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,30,25,"JUNIOR COLLEGE","LEGAL"
1,10,40,"BACHELOR",NA
4,0,20,"BACHELOR","LEGAL"
6,0,20,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"BACHELOR",NA
6,0,60,"HIGH SCHOOL",NA
5,0,40,"GRADUATE","LEGAL"
NA,0,3,"BACHELOR","LEGAL"
4,0,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE",NA
3,5,40,"BACHELOR","LEGAL"
3,5,35,"GRADUATE","LEGAL"
4,0,24,"HIGH SCHOOL",NA
3,0,60,"GRADUATE","LEGAL"
NA,NA,34,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,10,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,50,"HIGH SCHOOL","LEGAL"
2,0,50,"HIGH SCHOOL",NA
0,0,32,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,NA,40,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
2,15,46,"LT HIGH SCHOOL","NOT LEGAL"
2,0,36,"BACHELOR","NOT LEGAL"
4,0,30,"HIGH SCHOOL","NOT LEGAL"
6,5,40,"BACHELOR",NA
3,0,40,"BACHELOR","NOT LEGAL"
3,0,36,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,1,40,"BACHELOR",NA
3,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,48,"HIGH SCHOOL","LEGAL"
6,3,35,"GRADUATE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,0,50,"JUNIOR COLLEGE",NA
5,0,20,"JUNIOR COLLEGE","LEGAL"
2,20,50,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
1,4,68,"HIGH SCHOOL",NA
8,30,50,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,3,40,"GRADUATE",NA
8,0,35,"HIGH SCHOOL","NOT LEGAL"
1,0,20,"JUNIOR COLLEGE","LEGAL"
3,3,9,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,40,"BACHELOR","NOT LEGAL"
4,0,52,"BACHELOR",NA
2,15,35,"HIGH SCHOOL","NOT LEGAL"
2,5,40,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
2,0,30,"LT HIGH SCHOOL","NOT LEGAL"
2,0,41,"BACHELOR",NA
0,0,40,"BACHELOR",NA
4,0,35,"LT HIGH SCHOOL","NOT LEGAL"
1,4,38,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,NA,70,"BACHELOR","NOT LEGAL"
2,0,35,"HIGH SCHOOL",NA
NA,0,48,"HIGH SCHOOL",NA
4,0,9,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,0,32,"HIGH SCHOOL",NA
2,NA,35,"HIGH SCHOOL","NOT LEGAL"
3,0,50,"HIGH SCHOOL",NA
2,0,65,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
8,30,7,"GRADUATE",NA
4,0,24,"BACHELOR",NA
3,0,60,"BACHELOR",NA
2,3,40,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
4,30,40,"GRADUATE",NA
2,0,30,"HIGH SCHOOL",NA
3,1,50,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
4,0,40,"BACHELOR","NOT LEGAL"
4,0,24,"HIGH SCHOOL","LEGAL"
3,NA,45,"GRADUATE","NOT LEGAL"
2,0,12,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
5,4,30,"HIGH SCHOOL","NOT LEGAL"
1,0,30,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
5,1,40,"HIGH SCHOOL","LEGAL"
18,0,15,"HIGH SCHOOL",NA
4,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
2,0,89,"BACHELOR",NA
3,0,30,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,20,40,"LT HIGH SCHOOL",NA
8,0,40,"LT HIGH SCHOOL","NOT LEGAL"
4,2,50,"GRADUATE","LEGAL"
1,2,50,"LT HIGH SCHOOL","LEGAL"
14,0,32,"LT HIGH SCHOOL",NA
6,1,40,"HIGH SCHOOL","LEGAL"
2,1,24,"HIGH SCHOOL",NA
2,0,60,"HIGH SCHOOL","NOT LEGAL"
3,0,24,"GRADUATE",NA
2,2,50,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
12,0,20,"HIGH SCHOOL","LEGAL"
2,0,45,"BACHELOR",NA
1,3,40,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
4,0,28,"LT HIGH SCHOOL","NOT LEGAL"
2,2,38,"LT HIGH SCHOOL",NA
NA,NA,9,"HIGH SCHOOL","LEGAL"
3,0,25,"GRADUATE",NA
2,0,40,"BACHELOR","LEGAL"
5,0,62,"HIGH SCHOOL",NA
4,0,47,"LT HIGH SCHOOL",NA
1,0,40,"LT HIGH SCHOOL",NA
2,0,40,"HIGH SCHOOL","LEGAL"
2,14,40,"HIGH SCHOOL",NA
0,0,37,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
4,0,47,"BACHELOR",NA
5,15,29,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"HIGH SCHOOL","LEGAL"
2,5,25,"GRADUATE","LEGAL"
8,0,55,"BACHELOR","NOT LEGAL"
4,1,30,"HIGH SCHOOL","NOT LEGAL"
4,30,25,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR",NA
1,0,60,"HIGH SCHOOL","LEGAL"
4,0,44,"GRADUATE","NOT LEGAL"
6,0,38,"HIGH SCHOOL","LEGAL"
5,0,50,"HIGH SCHOOL","LEGAL"
4,0,60,"GRADUATE",NA
1,14,75,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
2,0,27,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"LT HIGH SCHOOL","LEGAL"
5,0,50,"BACHELOR",NA
NA,NA,NA,"BACHELOR","LEGAL"
8,3,45,"GRADUATE",NA
5,4,30,"JUNIOR COLLEGE","NOT LEGAL"
3,5,NA,"GRADUATE","LEGAL"
8,29,45,"HIGH SCHOOL","LEGAL"
1,2,52,"HIGH SCHOOL","LEGAL"
4,0,72,"BACHELOR",NA
5,0,40,"BACHELOR","NOT LEGAL"
4,2,50,"BACHELOR","LEGAL"
1,3,45,"BACHELOR","LEGAL"
2,4,52,"JUNIOR COLLEGE","NOT LEGAL"
3,10,70,"BACHELOR","LEGAL"
4,0,40,"HIGH SCHOOL",NA
6,0,20,"GRADUATE","LEGAL"
5,0,40,"GRADUATE","LEGAL"
3,0,60,"BACHELOR","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
8,0,50,"HIGH SCHOOL","LEGAL"
2,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,0,9,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
0,0,40,"HIGH SCHOOL",NA
7,1,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,30,"HIGH SCHOOL","LEGAL"
2,14,25,"BACHELOR","LEGAL"
3,0,40,"BACHELOR",NA
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
5,0,25,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
5,0,37,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
5,2,45,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,0,64,"GRADUATE",NA
3,4,33,"BACHELOR",NA
0,7,30,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR",NA
0,5,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"BACHELOR","LEGAL"
7,0,9,"BACHELOR","LEGAL"
3,0,72,"GRADUATE",NA
4,0,16,"BACHELOR","LEGAL"
3,0,60,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,0,41,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,37,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,5,50,"HIGH SCHOOL","LEGAL"
3,25,42,"HIGH SCHOOL","LEGAL"
2,0,30,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
0,15,40,"JUNIOR COLLEGE","LEGAL"
4,0,20,"HIGH SCHOOL",NA
1,14,40,"BACHELOR","NOT LEGAL"
2,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
1,3,40,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
3,0,54,"JUNIOR COLLEGE","NOT LEGAL"
2,2,35,"GRADUATE","LEGAL"
8,10,10,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
2,0,40,"HIGH SCHOOL","LEGAL"
1,2,38,"HIGH SCHOOL","NOT LEGAL"
3,0,60,"HIGH SCHOOL",NA
6,0,8,"GRADUATE","LEGAL"
3,15,38,"HIGH SCHOOL","NOT LEGAL"
6,0,6,"BACHELOR",NA
NA,NA,NA,"BACHELOR","LEGAL"
5,0,50,"GRADUATE","LEGAL"
5,0,45,"GRADUATE",NA
5,5,48,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR",NA
4,0,46,"BACHELOR","NOT LEGAL"
3,3,45,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,40,"LT HIGH SCHOOL",NA
7,9,16,"HIGH SCHOOL",NA
8,0,40,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
6,0,32,"BACHELOR","LEGAL"
4,5,52,"BACHELOR",NA
3,2,34,"JUNIOR COLLEGE","NOT LEGAL"
5,0,15,"HIGH SCHOOL",NA
3,0,50,"HIGH SCHOOL","NOT LEGAL"
3,15,20,"HIGH SCHOOL",NA
1,7,30,"HIGH SCHOOL",NA
5,15,3,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
4,1,60,"GRADUATE","LEGAL"
3,0,40,"BACHELOR",NA
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,15,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,15,22,"HIGH SCHOOL","LEGAL"
5,0,45,"HIGH SCHOOL",NA
2,0,50,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE",NA
5,0,32,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,5,40,"HIGH SCHOOL",NA
2,0,25,"LT HIGH SCHOOL",NA
2,25,30,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","LEGAL"
3,2,40,"BACHELOR","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
3,0,42,"BACHELOR",NA
2,0,48,"LT HIGH SCHOOL","NOT LEGAL"
6,0,20,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
7,0,35,"GRADUATE",NA
2,4,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
4,30,40,"HIGH SCHOOL","LEGAL"
5,3,40,"BACHELOR",NA
4,0,37,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL",NA
3,0,40,"HIGH SCHOOL","NOT LEGAL"
5,0,44,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,1,9,"LT HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,40,"HIGH SCHOOL","NOT LEGAL"
8,1,51,"HIGH SCHOOL",NA
8,0,20,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
1,15,50,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,50,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
12,2,40,"GRADUATE","LEGAL"
3,0,42,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
1,21,40,"LT HIGH SCHOOL",NA
7,0,20,"GRADUATE","LEGAL"
8,30,11,"HIGH SCHOOL",NA
NA,NA,48,"BACHELOR",NA
2,6,60,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
2,15,50,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
3,0,50,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
8,0,35,"GRADUATE",NA
2,0,55,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,10,70,"HIGH SCHOOL",NA
1,5,52,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
3,14,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL",NA
4,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,5,"LT HIGH SCHOOL","NOT LEGAL"
6,0,40,"LT HIGH SCHOOL","NOT LEGAL"
2,0,40,"HIGH SCHOOL",NA
3,3,30,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,30,60,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"BACHELOR","NOT LEGAL"
0,30,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,0,45,"HIGH SCHOOL","NOT LEGAL"
0,30,46,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
5,0,38,"HIGH SCHOOL",NA
3,10,9,"LT HIGH SCHOOL","NOT LEGAL"
2,5,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,45,"BACHELOR",NA
3,2,42,"HIGH SCHOOL","NOT LEGAL"
3,6,27,"JUNIOR COLLEGE",NA
2,30,40,"HIGH SCHOOL","NOT LEGAL"
3,0,20,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
7,0,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,65,"BACHELOR","LEGAL"
4,10,40,"BACHELOR",NA
2,30,60,"LT HIGH SCHOOL","LEGAL"
4,30,30,"LT HIGH SCHOOL",NA
8,20,38,"HIGH SCHOOL",NA
1,0,40,"HIGH SCHOOL",NA
5,7,67,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
2,2,32,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,39,"HIGH SCHOOL",NA
4,0,8,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,1,40,"BACHELOR","NOT LEGAL"
5,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
5,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,0,50,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,NA,65,"HIGH SCHOOL","NOT LEGAL"
5,0,40,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
5,7,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,7,9,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
3,7,36,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
3,0,44,"GRADUATE",NA
4,0,30,"BACHELOR","LEGAL"
8,0,9,"LT HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL",NA
2,0,40,"HIGH SCHOOL",NA
5,0,21,"BACHELOR",NA
1,0,58,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,0,30,"LT HIGH SCHOOL","NOT LEGAL"
3,5,40,"BACHELOR","LEGAL"
3,1,40,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
6,3,38,"GRADUATE","NOT LEGAL"
3,1,40,"BACHELOR",NA
2,0,50,"GRADUATE","NOT LEGAL"
1,0,40,"GRADUATE",NA
1,3,40,"GRADUATE","NOT LEGAL"
2,1,10,"BACHELOR","NOT LEGAL"
10,30,9,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,1,50,"HIGH SCHOOL",NA
5,2,55,"GRADUATE","LEGAL"
NA,NA,NA,"BACHELOR",NA
6,0,40,"HIGH SCHOOL","LEGAL"
14,0,36,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,50,"GRADUATE","NOT LEGAL"
4,10,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
0,20,22,"HIGH SCHOOL",NA
5,3,40,"GRADUATE","LEGAL"
5,2,32,"BACHELOR",NA
NA,NA,50,"HIGH SCHOOL","LEGAL"
2,NA,25,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
3,1,48,"HIGH SCHOOL",NA
1,10,89,"HIGH SCHOOL","LEGAL"
5,0,25,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,55,"JUNIOR COLLEGE",NA
1,3,43,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,60,"HIGH SCHOOL","NOT LEGAL"
2,2,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
5,0,60,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,5,55,"GRADUATE","LEGAL"
0,5,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
5,0,54,"GRADUATE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
5,30,20,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
4,0,50,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
3,0,58,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
0,0,42,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
